SBL,LATITUDE,LONGITUDE,DEED YEAR,SALE PRICE,ADDRESS,PROPERTY CLASS,PROP CLASS DESCRIPTION
0903200004036000,42.9388588567,-78.8148108108,2011,19000,66 MIDWAY,210,ONE FAMILY DWELLING
0904600001002000,42.933641339,-78.8308522483,1997,15000,26 RICHLAWN,311,RESIDENTIAL VACANT LAND
0903800009014000,42.934209601,-78.8301722465,2018,22439,51 RICHLAWN,210,ONE FAMILY DWELLING
0893500005019000,42.9370570426,-78.8459546451,2016,269900,356 CRESCENT,210,ONE FAMILY DWELLING
0887500004001200,42.923700995,-78.8884813725,2018,79900,123 GREENWOOD,210,ONE FAMILY DWELLING
0895000006002000,42.9324290802,-78.8514635194,2016,175000,104 FLORENCE,220,TWO FAMILY DWELLING
0896100003013000,42.9270115293,-78.8787164567,2005,93000,810 ASHLAND,230,THREE FAMILY DWELLING
0903400007015000,42.938614516,-78.807293289,2011,29150,55 ALICE,210,ONE FAMILY DWELLING
0892100005017000,42.9389702118,-78.8763237108,2001,81620,105 FORDHAM,220,TWO FAMILY DWELLING
0896100004036000,42.9274116524,-78.8779526317,2007,58250,823 ASHLAND,220,TWO FAMILY DWELLING
0896900002020000,42.9244415109,-78.8787382238,2015,145000,556 POTOMAC,220,TWO FAMILY DWELLING
0895800001002000,42.9306203336,-78.851899679,2015,120000,70 ROBIE,210,ONE FAMILY DWELLING
0904200008005000,42.9355947217,-78.8084700265,2015,43652,135 PHYLLIS,210,ONE FAMILY DWELLING
0897700002001000,42.9229858472,-78.8797195363,2010,285000,36 DORCHESTER,210,ONE FAMILY DWELLING
0887500008003000,42.9246912492,-78.8914608432,2013,45000,85 GARNER,220,TWO FAMILY DWELLING
0897400004007000,42.923003079,-78.8492585709,2015,39000,31 MEECH,210,ONE FAMILY DWELLING
0895200003016000,42.9317350776,-78.839567953,2019,30000,2128 FILLMORE,330,COMMERCIAL VACANT LAND
0895800003010000,42.9292728605,-78.8504555064,2011,161200,2162 MAIN,482,DOWNTOWN ROW TYPE (DETACHED)
0904200008007000,42.93559512,-78.8082316689,2008,15000,141 PHYLLIS,210,ONE FAMILY DWELLING
0892200005040000,42.9389692242,-78.8748144423,2013,225000,61 FORDHAM,210,ONE FAMILY DWELLING
0897000002007100,42.9231979467,-78.8721502644,2008,247332,128 CHAPIN,210,ONE FAMILY DWELLING
0903300008007000,42.9379573767,-78.8107085199,2018,50000,554 SUFFOLK,210,ONE FAMILY DWELLING
0887500004028000,42.9227245246,-78.8884620435,2014,75000,89 GREENWOOD,220,TWO FAMILY DWELLING
0904100009034000,42.9352951629,-78.812047863,2016,14000,40 MILLICENT,210,ONE FAMILY DWELLING
0904100007029000,42.9340185707,-78.8125529431,2004,21400,26 ROOSEVELT,220,TWO FAMILY DWELLING
0902500003046000,42.9397520782,-78.8099950483,2019,53000,1230 KENSINGTON,210,ONE FAMILY DWELLING
0903300007002300,42.9369204594,-78.8118725851,2015,185000,47 DAVIDSON,331,COM VAC W/IMP
0903200006036000,42.9377605282,-78.8149093004,2017,40000,1078 KENSINGTON,210,ONE FAMILY DWELLING
0896100002009000,42.9272949777,-78.8799515434,2016,225000,186 CLAREMONT,220,TWO FAMILY DWELLING
0888300008038000,42.9215003823,-78.8922908497,2016,32500,321 HERKIMER,210,ONE FAMILY DWELLING
0898200005027000,42.9210392064,-78.8506180488,1994,38500,87 BEVERLY,210,ONE FAMILY DWELLING
0897100001028000,42.9245148801,-78.8677415159,2012,166100,850 POTOMAC,220,TWO FAMILY DWELLING
0904100010008000,42.9342551186,-78.8142347826,2019,67000,110 ANDOVER,210,ONE FAMILY DWELLING
0902500005019000,42.9391838239,-78.8113843688,2019,59000,1186 KENSINGTON,220,TWO FAMILY DWELLING
0887500008011100,42.9246831284,-78.8905676321,2002,20213,109 GARNER,220,TWO FAMILY DWELLING
0902100007020120,42.9394623468,-78.833039339,2008,23000,48 BENNETT VILL,210,ONE FAMILY DWELLING
